Name,Telefon,Ort,genauer Ort,gps,Latitude,Longitude,Datum von,Datum,KW,Besucherzahl,Besuchertext,Color,Wird verkauft?,Ausstellerzahl,Webseite,Tageskarte,Ganze Veranstaltung,Bemerkungen,farben
Internationale Spieltage SPIEL,,in Essen,,"51.4258994, 6.9930098",51.4258994, 6.9930098,24. Okt 19,24. – 27.10.2019,10,180000,180000,#e31a1cff,,,https://www.spiel-messe.com/de/,,,,
modell-hobby-spiel,,in Leipzig,Leipziger Messe Halle 2," 51.397571, 12.402478 ", 51.397571,12.402478 ,3. Okt 19,3. – 6.10.2019,10,94800,94800,#e31a1cff,#ffffb2ff,,https://www.modell-hobby-spiel.de/de/,,,,
Spielemesse,,in Stuttgart,Messe Stuttgard,"48.6929736, 9.1977409",48.6929736, 9.1977409,21. Nov 19,21. – 24.11.2019,11,63500,63500,#e31a1cff,#fecc5cff,,https://www.messe-stuttgart.de/spielemesse/,,,,
Spielwiesn,,in München,,"48.1960571, 11.6116461",48.1960571,11.6116461,15. Nov 19,15. – 17.11.2019,11,60000,60000,#e31a1cff,#fd8d3cff,,https://www.spielwiesn.de/sw,,,,
Chemnitzer SPIELETAGE ,,,Sachsen-Allee,"50.8455846, 12.9387239",50.8455846,12.9387239,1. Nov 19,1. – 3.11.2019,11,60000,60000,#e31a1cff,#e31a1cff,,https://www.chemnitzer-spieletage.de/,,,,
SPIELidee 2018,,in Rostock,"Zur Hansemesse, 18106 Rostock"," 54.138928, 12.073010 ", 54.138928,12.073010 ,8. Nov 19,8. – 10.11.2019,11,23318,23318,#e31a1cff,,,https://www.inrostock.de/messen/spielidee/fuer-besucher/,,,,
Spiel doch ,,In Duisburg,"Landschaftspark Nord, Kraftzentrale, Emscherstr. 71, 47137 Duisburg","51.4815460, 6.7826605",51.4815460, 6.7826605,29. Mrz 19,29. – 31.03.2019,3,14000,14000,#e31a1cff,,,https://www.spieldoch-messe.com,,,,
Darmstadt spielt,,,im Wissenschafts- und Kongresszentrum darmstadtium,"50.1546346, 8.1858590",50.1546346, 8.1858590,23. Nov 19,23. – 24.11.2019,11,6000,6000,#fd8d3cff,,20,https://www.darmstadt-spielt.de/,5,,,
BAD NAUHEIM SPIELT! ,,,Der Sprudelhof,"50.367618, 8.743542",50.367618, 8.743542,24. Mai 19,24. – 26.05.2019,5,5000,5000,#fd8d3cff,,,https://bad-nauheim-spielt.chayns.net/aboutus,,,,
Herner Spielewahnsinn,,,Kulturzentrum Herne,"51.5358162, 7.2235615",51.5358162, 7.2235615,17. Mai 19,17. – 19.05.2019,5,4500,4500,#fd8d3cff,,55,http://spielezentrum.de/de/spielewahnsinn.htm,5,9,,
Spielewelt in Bielefeld ,,,Ravensberger Spinnerei,"51.9682196, 8.4426123",51.9682196, 8.4426123,16. Nov 19,16.  – 17.11.2019,11,4000,4000,#fd8d3cff,,24,http://www.spielewelt-in-bielefeld.de/,4,,,
Bremer Spieletage,,,Bremer Volkshochschule,"53.0814503, 8.7966489",53.0814503, 8.7966489,2. Mrz 19,02. – 03.03.2019,3,3700,3700,#fd8d3cff,,,http://www.bremerspieletage.de/,"4,5","7,5",,
Berlin Brettspiel Con,,,Kühlhaus Berlin,"52.4997861, 13.3764490",52.4997861,13.3764490,19. Jul 19,19. – 21.07.2019,7,3000,3000,#fd8d3cff,,,https://hunterundcron.de/berlincon/,12,20,,
Straubinger Spieletage,,,Pfarr- und Jugendheim St. Josef,"48.8728874, 12.5690367",48.8728874,12.5690367,8. Apr 19,8. – 14.4.19,4,3000,3000,#fd8d3cff,,,www.v3.straubinger-spieletage.de,,,,
Landshuter Spieletage,,,Alte Kaserne Landshut,"48.5482293, 12.1813522",48.5482293,12.1813522,21. Nov 18,21. – 25.11.18,11,3000,3000,#fd8d3cff,,,https://www.landshuter-spieletage.de/,,,,
Spieletage Eggenfelden.,,,"m Gotischen Kasten, Schlossökonomie Gern","48.4003530, 12.7760715",48.4003530,12.7760715,9. Okt 19,9. – 13.10.2019,10,2500,2500,#fd8d3cff,,,http://kjr-rottal-inn.de/2018/10/01/auf-zu-den-spieletagen-nach-gern/,,,,
S(pi)eligenstadt,,in Seligenstadt,Jahnstr.24 in Seligenstadt ," 50.047616, 8.969086 ", 50.047616, 8.969086 ,16. Jan 20,16.01. - 19.01.2020,1,2500,2500,#fd8d3cff,,,http://spieligenstadt.bplaced.net/,,,,
Nürnberger Spielefest,,,,"49.4558872, 11.0770510",49.4558872,11.0770510,1. Feb 19,01. – 04.02.2019,2,2000,2000,#fd8d3cff,,,http://www.nuernberger-spiele-fest.de/,,,,
Ratinger Spieletage ,,,Stadthalle,"51.2944082, 6.8504282",51.2944082, 6.8504282,13. Apr 19,13. – 14.04.2019,4,2000,2000,#fd8d3cff,,60,http://www.stadt-ratingen.de/spieletage/index.php,,,,
Aschaffenburg spielt!,,,"Aschaffenburg, Schlossplatz, Stadtbibliothek, Volkshochschule"," 49.976059, 9.143951 ", 49.976059, 9.143951 ,10. Jun 18,10.6.18,6,2000,2000,#fd8d3cff,,,https://www.aschaffenburg-spielt.de/index.html,,,,
"Komm, spiel mit!",,in Neu-Ulm,Edwin-Scharff-Haus Silcherstraße 40,"48.393669, 9.991180",48.393669, 9.991180,23. Nov 19,23. – 24.11.2019,11,1800,1800,#fd8d3cff,,,https://komm-spiel-mit.info,,,,
Offenbach spielt,,,Theodor-Heuss-Schule Offenbach," 50.092254, 8.780762 ", 50.092254, 8.780762 ,28. Mrz 19,28. – 31.03.19,3,1500,1500,#fd8d3cff,,,http://offenbach-spielt.de/,,,,
Brett Hamburg,,,Brett Hamburg,"53.6010459, 10.1454765",53.6010459,10.1454765,28. Sep 19,28. – 29.09.2019,9,1300,1300,#fd8d3cff,,,https://brett-hamburg.de/,,,,
Karlsruher SpieleTage,,,NCO-Club,"49.0287516, 8.3836145",49.0287516, 8.3836145,16. Nov 18,16. – 18.11.2018,11,1000,1000,#fecc5cff,,,https://www.thoule.de/home.php?content=253&vor=spieletage&counter=1,4,8,,
Braunschweig spielt!,,,im Congress Saal und Konferenzsaal der Stadthalle,"52.2568426, 10.5400520",52.2568426,10.5400520,23. Mrz 19,23. – 24.03.2019,3,1000,1000,#fecc5cff,,3,http://www.spielekultur.de,5,8,Kinder bis 13 J. frei!,
Mannheim Spielt!,,,"Im Jugendkulturzentrum Forum, Neckarpromenade 46, 68167 Mannheim","49.4945320, 8.4787963",49.4945320, 8.4787963,9. Nov 19,9. – 10.11.2019,11,1000,1000,#fecc5cff,,,https://spielema.net/mannheim-spielt,,,,
Paderborner Spieletag,,,"Kulturwerkstatt, Bahnhofstraße 64, 33102 PB"," 51.713439, 8.734980 ", 51.713439, 8.734980 ,21. Okt 19,21.10.2019,10,1000,1000,#fecc5cff,,,http://www.paderborner-spielefreunde.de/wiki/tiki-index.php?page=Spieletag,,,,
Hagen Spielt,,,,"51.3546283, 7.4794469",51.3546283, 7.4794469,4. Nov 18,4.11.18,11,700,700,#fecc5cff,,,https://www.wasgehtinhagen.de/events/hagen-spielt/,,,,
Amigo Spielefest,,in Köln,Theater am Tanzbrunnen,"50.946579, 6.971845",50.946579, 6.971845,14. Sep 19,14. – 15.9.2019,9,700,700,#fecc5cff,,,https://www.amigo-spiele.de/2019/03/13/spielefest-2019,,,,
BONN-SPIELT,,,,"50.7358510, 7.1006600",50.7358510, 7.1006600,16. Mrz 19,16.3.19,3,600,600,#fecc5cff,,,https://wilde-zockerei.de/,,,,
